termino,coeficiente,asociacion
im,-2.295639020581468,No desastre
love,-2.127805254587003,No desastre
new,-2.089912803048695,No desastre
body,-1.6546372599595207,No desastre
want,-1.6324686329053786,No desastre
ruin,-1.6045598199740536,No desastre
panicking,-1.565673310586396,No desastre
screaming,-1.5511640237869047,No desastre
blew,-1.4826079162115207,No desastre
thank,-1.4825714330536408,No desastre
nowplaying,-1.474884168460119,No desastre
armageddon,-1.4612113793818498,No desastre
better,-1.4510267678583375,No desastre
harm,-1.4390405574077572,No desastre
let,-1.4130628997849972,No desastre
flattened,-1.4130512413019622,No desastre
twister,-1.4002794603268693,No desastre
upheaval,-1.397723372328128,No desastre
curfew,-1.384640951341815,No desastre
day,-1.3775120031303612,No desastre
hiroshima,2.9414228932011635,Desastre real
california,2.675859949104997,Desastre real
fires,2.654449955951995,Desastre real
killed,2.3546025469699843,Desastre real
buildings,2.341509969882461,Desastre real
wildfire,2.3331444330790743,Desastre real
suicide,2.1849240380696506,Desastre real
train,2.1513299313385468,Desastre real
bombing,2.1469747250176257,Desastre real
near,2.0596398482393092,Desastre real
storm,2.046503177524856,Desastre real
nuclear,1.9928715058270479,Desastre real
earthquake,1.960126694186669,Desastre real
forest,1.9297907242650476,Desastre real
typhoon,1.8790438536248992,Desastre real
derailment,1.8558191674610875,Desastre real
drought,1.8529328543814507,Desastre real
police,1.8513750759333316,Desastre real
mh370,1.826782443436135,Desastre real
floods,1.7969185596363306,Desastre real
